Part	SN	Tray	Ball1	Ball2	Ball3	Ball4	Ball5	Ball6	Ball7	Ball8	Ball9
1	S295553C69C5	1	62.8	93.2	0	64.93	109.27	51.14	12.02	74.46	56.06
1		2	63.52	94.55	0	64.75	109.19	51.78	12.48	74.47	58.12
1		3	65.11	95.63	0	67.94	109.76	53.41	12.41	76.51	58.15
1		4	65.66	94.26	0	68	108.7	52.65	12.34	75.83	57.88
1		5	64.51	92.3	0	65.91	107.49	52.3	10.05	75.98	56.18
1		6	66.2	96.09	0	68.49	109.71	53.33	13.2	76.21	59.44
1		7	65.3	93.32	0	67	108.62	52.88	10.91	76	57.29
1		8	65.53	95.85	0	65.56	111.48	52.45	12.14	76.06	59.53
1		9	64.17	94	0	66.78	109.5	52.5	11.89	75.56	56.88
1		10	64.59	94.2	0	66.4	108.7	52.73	12	75.1	58.12
3	S765559F6675	1	5.02	82.96	21.8	37.35	100.5	31.24	28.47	78.3	0
3		2	5.12	81.98	18.99	34.94	99.56	28.36	26.09	76.77	0
3		3	4.13	82.31	17.88	35.06	99.23	28.18	26.27	75.39	0
3		4	4.42	80.32	17.79	34.72	97.58	28.16	25.48	74.12	0
3		5	4.86	79.62	19.41	35.65	97.85	29.47	26.25	74.46	0
3		6	4.59	81.94	19.07	35.71	99.42	29.48	26.31	76.23	0
3		7	4.12	80.9	19.36	34.54	97.75	29.2	26.07	75.43	0
3		8	4.86	83.38	17.67	35.69	99.24	27.83	26.25	76.85	0
3		9	4.26	80.15	19.67	35.5	98.04	30.16	26.27	74.77	0
3		10	4.72	82.84	18.62	35.53	99.12	29.13	25.85	77.24	0
5	S43Q5369H9JQ	1	37.51	79.69	0	39.67	89.88	37.91	6.15	64.5	37.43
5		2	39.41	79.85	0	40.57	90.98	37.44	6.64	64.79	38.38
5		3	37.89	79.44	0	39.84	90.46	37	7.24	63.52	37.75
5		4	37.72	78.84	0	39.77	89.89	36.91	7.21	63	37.56
5		5	36.77	75.09	0	38.49	87.41	36.38	5.4	61.37	35.63
5		6	37.11	76.94	0	37.97	89.14	35.99	5.66	62.78	36.25
5		7	37.45	75.68	0	38.5	88.51	36.31	4.98	62.55	35.74
5		8	38.61	78.55	0	39.68	90.12	37.25	6.6	63.13	38.25
5		9	36.97	78.32	0	37.4	87.23	34.96	5.61	64.8	35.8
5		10	38.3	80.42	0	40.21	90.39	37.67	7.72	63.53	39
7	S7655538653F	1	29.24	94.29	0	46.19	103.34	37.11	16	71.56	30.78
7		2	28.93	93.3	0	43.65	102.91	36.59	14.77	70.9	31.22
7		3	31	94.74	0	45.79	102.47	36.71	16.06	71.83	32.73
7		4	29.68	93.77	0	45.04	102.65	37.76	15.47	70.36	32.54
7		5	28.42	92.84	0	43.71	100.57	36.9	14.38	70.88	30.78
7		6	29.41	94	0	44.7	102.6	37.89	15	70.93	32.28
7		7	29.3	93.29	0	45.11	101.5	37.35	15.45	70.37	31.74
7		8	31	98.95	0	46.51	105.76	37.5	17.58	73.78	34.15
7		9	28.13	91.14	0	43.81	100.9	37.29	14.59	68.59	30.92
7		10	29.25	91.92	0	46.2	102.15	37.64	14.43	70.95	29.79
9	S794L96FH5F5	1	0	81.06	7.86	24.74	92.84	21.35	17.38	69.31	0.56
9		2	0.62	80.92	7.57	24.15	92.97	19.69	17.03	70.08	0
9		3	0	79.68	8.67	24.46	91.49	20.65	18.14	68.53	0.18
9		4	0	80.15	9.49	25.4	92.01	22.77	18.55	68.66	0.96
9		5	0.49	79.24	10.44	25.79	91.51	22.01	19.16	69.28	0
9		6	0.1	78.43	8.86	24.56	91.33	20.77	18.04	67.65	0
9		7	0.45	79.07	9.57	25.55	91.78	21.74	18.41	68.82	0
9		8	0.58	79.44	6.92	24.35	92.4	19.29	17.02	68.02	0
9		9	0	79.95	8.62	25.24	91.28	21.43	18.57	68.06	0.69
9		10	0	81.04	9.47	25.27	91.14	22.15	18.64	69.9	0.68
11	S43Q5669H9FW	1	48.38	90.35	0	48.89	102.99	44.92	8.28	71.85	47.68
11		2	50.8	93.78	0	49.99	104.62	46.03	8.28	74.98	50.13
11		3	50.18	90.53	0	48.93	102.64	44.18	8.73	71.86	49.22
11		4	49.26	90.85	0	49.22	103.25	45.5	8.39	71.87	48.94
11		5	48.38	90.33	0	49.24	102.13	45.11	8.46	71.7	47.78
11		6	49.55	94.04	0	49.96	103.85	45.56	9.67	73.78	49.89
11		7	49.04	91.14	0	48.88	102.58	44.77	8.73	72.08	48.73
11		8	50.28	92.41	0	49.34	103.88	44.87	8.72	73.51	49.53
11		9	49.31	91.91	0	49.54	102.38	45.85	8.21	73.18	48.96
11		10	48.92	92.22	0	49.11	102.9	45.51	9.22	72.06	49.62
13	S83Q56686997	1	52.33	102.7	0	54.5	116.21	48.06	11.5	80.93	51.7
13		2	53.11	100.99	0	55.41	116.08	48.54	11.6	79.21	52.13
13		3	53.32	99.17	0	54.67	114.97	47.49	11.37	78	51.83
13		4	53.08	103.59	0	55.96	115.73	48.91	12.7	80.45	53.15
13		5	52.3	102.13	0	54.63	115.56	47.47	11.64	80.75	51.12
13		6	53.11	102.85	0	55.49	115.47	48.25	13.02	79.43	53.31
13		7	52.2	101.69	0	54.43	114.47	48.12	11.88	79.32	52.21
13		8	52.61	101.63	0	54.93	116.45	47.79	12.24	79.26	51.96
13		9	53.21	102.75	0	55.44	115.35	48.6	12.14	80.25	52.93
13		10	53.43	102.68	0	56.37	114.42	49.26	13.04	79.04	53.9
